Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_DNA,Monomer,238,956.9484453781512,543.0568306419281,56.74880744775459,862.865,66.74,3316.71,629.3475000000001,1189.555,560.2075,-210.9637499999999,2029.86625,14,5.88235294117647
BSA_DNA,Homodimer,215,1342.5631627906978,479.3357962168169,35.70303502298194,1326.16,104.46,3128.46,1109.09,1571.15,462.0600000000002,415.99999999999966,2264.2400000000002,13,6.046511627906977
BSA_DNA,Heterodimer,28,976.1271428571429,335.3580560894982,34.35598103623045,994.885,431.64,1589.75,685.2900000000001,1291.31,606.0199999999999,-223.73999999999967,2200.3399999999997,0,0.0
