Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_Protein,Monomer,251,946.9830278884461,528.6123271899694,55.82067593847516,882.43,67.46,2884.09,633.115,1160.8200000000002,527.7050000000002,-158.44250000000022,1952.3775000000005,16,6.374501992031872
BSA_Protein,Homodimer,216,1343.5762499999998,482.01368387438043,35.875424552523945,1346.6799999999998,64.56,3078.54,1089.105,1612.32,523.2149999999999,304.28250000000014,2397.1425,8,3.7037037037037033
BSA_Protein,Heterodimer,28,1010.7435714285714,364.2065799659257,36.033529201789634,1028.28,307.52,1648.96,718.72,1392.56,673.8399999999999,-292.03999999999985,2403.3199999999997,0,0.0
