Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_Complex,Monomer,251,1928.5094422310756,1083.9028470720461,56.20417631028493,1754.92,134.2,6200.8,1279.765,2343.6099999999997,1063.8449999999996,-316.0024999999994,3939.377499999999,16,6.374501992031872
BSA_Complex,Homodimer,216,2685.414166666667,956.7207315739993,35.626561572867224,2674.065,169.02,6113.75,2256.4,3175.08,918.6799999999998,878.3800000000003,4553.099999999999,13,6.018518518518518
BSA_Complex,Heterodimer,28,2013.4428571428573,660.1529816801285,32.78727177869391,2015.2150000000001,1060.66,3238.71,1474.0525,2699.33,1225.2775,-363.86374999999975,4537.24625,0,0.0
