Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_RNA,Monomer,22,845.8818181818183,379.3112637479417,44.84211098936407,800.615,314.02,1550.82,490.51750000000004,1116.5974999999999,626.0799999999998,-448.6024999999996,2055.7174999999997,0,0.0
BSA_RNA,Homodimer,1,1183.88,,,1183.88,1183.88,1183.88,1183.88,1183.88,0.0,1183.88,1183.88,0,0.0
BSA_RNA,Heterodimer,1,744.02,,,744.02,744.02,744.02,744.02,744.02,0.0,744.02,744.02,0,0.0
