Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_Complex,Monomer,554,2640.37380866426,2703.65786215339,102.39678386755186,1986.68,109.59,19429.88,788.45,3768.7675,2980.3175,-3682.02625,8239.24375,15,2.707581227436823
BSA_Complex,Homodimer,28,2336.717857142857,2709.1123382192063,115.93664720531052,1377.945,143.3,10185.54,678.825,2178.5575,1499.7324999999998,-1570.7737499999996,4428.15625,5,17.857142857142858
BSA_Complex,Heterodimer,0,,,,,,,,,,,,0,0.0
