Parameter,Oligomer_Class,total_count,mean,std,cv_pct,median,min,max,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
BSA_Protein_1,Monomer,554,1316.0843140794223,1352.9402991355294,102.80042734814351,1001.635,52.91,9581.9,387.055,1864.015,1476.96,-1828.385,4079.455,16,2.888086642599278
BSA_Protein_1,Homodimer,28,1149.1760714285713,1334.6905630043555,116.14326091433196,655.745,75.1,5077.53,339.52500000000003,1085.5175,745.9924999999998,-779.4637499999997,2204.5062499999995,5,17.857142857142858
BSA_Protein_1,Heterodimer,0,,,,,,,,,,,,0,0.0
